OBJECTID_12,OBJECTID_1,OBJECTID_2,OBJECTID,FNODE_NO,TNODE_NO,LPOLY_NO,RPOLY_NO,LENGTH,STREETCL_N,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,DIR,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,ZIPL,ZIPR,MCDL,MCDR,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,GDTLINK,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_NO,STD_RNG,CHECKED,CHANGED,STADDED,CLTYPE,HALFVAC,CEN20LT,CEN20RG,ZONE_LEFT,ZONE_RIGHT,HOOD_LEFT,HOOD_RIGHT,DPW_ZON_LT,DPW_ZON_RT,FIRE_ZN_LT,FIRE_ZN_RT,WARD_LT,WARD_RG,NH_L,NH_R,COUNCIL_LT,COUNCIL_RT,VOTE_DT_LT,VOTE_DT_RT,CLASS,PAVEDDATE,TRUCKROUTE,SYMBOLOGY,Cartegraph,StreetFrom,OldFireZnL,OldFireZnR,CEN2010LT,CEN2010RG,COUNCIL__1,COUNCIL__2,Shape_Leng,PPA_Zones
1,67,359,3585,0,0,0,0,911.50220914,0,3585, ,BEDFORD,AVE, , ,BEDFORD AVE, ,1507,1513,0,0,MARIO LEMIEUX PL,BEDFORD AVE,15219,15219,100,100,CITY, , ,2,A31, ,TF,0,12113, ,Y,2010/01/19 00:00:00+00,Y, , , ,305,305,2,2,CRAWFORD-ROBERTS,CRAWFORD-ROBERTS,3,3,2-1,2-1,3,3,24,24,6,6,4,4,CITY,1970/01/01 00:00:00+00,N,3,19840,BEDFORD AVE MARIO LEMIEUX PL BEDFORD AVE,2-3,2-3,0305,0305,6,6,551.390855908,UPA
2,248,1301,7265,0,0,0,0,615.07849297,0,7265, ,ART ROONEY,AVE, , ,ART ROONEY AVE, ,101,499,100,498,REEDSDALE ST,GENERAL ROBINSON ST W,15212,15212, , ,CITY, , ,0,A30, ,N,0,34009, ,Y,2006/12/08 00:00:00+00,Y, , , ,2205,2205,1,1,NORTH SHORE,NORTH SHORE,6,6,1-7,1-7,22,22,57,57,1,1,3,3,CITY,1970/01/01 00:00:00+00,N,3,1135,ART ROONEY AVE REEDSDALE ST GENERAL ROBINSON ST W,1-8,1-8,9812,9812,6,6,615.07861065,NSH
3,296,758,9694,0,0,0,0,297.70089392,0,9694, ,FORT PITT,BLVD, , ,FORT PITT BLVD, ,423,445,424,444,CHERRY WAY,GRANT ST,15219,15219,100,100,CITY, ,YES,2,A31, ,TF,0,13944, ,Y,2007/01/05 00:00:00+00,Y, , , ,201,201,2,2,CENTRAL BUSINESS DISTRICT,CENTRAL BUSINESS DISTRICT,6,6,1-4,1-4,1,1,17,17,6,6,1,1,CITY,1970/01/01 00:00:00+00,Y,2,702,FORT PITT BLVD CHERRY WAY GRANT ST,1-1,1-1,0201,0201,6,6,297.700684256,DT
4,326,921,14387,0,0,0,0,308.10347319,0,14387,S,AIKEN,AVE, , ,S AIKEN AVE, ,477,489,478,488,BAUM BLVD,LIBERTY AVE,15224,15224,100,100,CITY, , ,2,A31, ,N,0,8094, ,Y,2006/12/05 00:00:00+00,Y, , , ,806,806,5,5,BLOOMFIELD,BLOOMFIELD,2,2,3-23,3-23,8,8,10,10,7,7,7,7,CITY,1970/01/01 00:00:00+00,N,3,900,S AIKEN AVE BAUM BLVD LIBERTY AVE,3-11,3-7,0806,0806,8,8,308.103280732,SB
5,384,126,882,0,0,0,0,259.69592964,0,882, ,SENNOTT,ST, , ,SENNOTT ST, ,0,0,0,0,OAKLAND AVE,S BOUQUET ST,15213,15213,100,100,CITY, , ,2,A31, ,N,0,12856, ,Z,2007/02/17 00:00:00+00,Y, , , ,405,405,4,4,CENTRAL OAKLAND,CENTRAL OAKLAND,3,3,2-14,2-14,4,4,20,20,3,3,14,14,CITY,1970/01/01 00:00:00+00,N,3,274,SENNOTT ST OAKLAND AVE S BOUQUET ST,2-7,2-11,0405,0405,3,3,259.69582255,OA
6,435,364,3624,0,0,0,0,279.63911627,0,3624, ,FORBES,AVE, , ,FORBES AVE, ,401,423,400,424,SMITHFIELD ST,CHERRY WAY,15219,15219,100,100,CITY, ,YES,3,A31, ,N,0,13147, ,Y,2007/01/04 00:00:00+00,Y, , , ,201,201,2,2,CENTRAL BUSINESS DISTRICT,CENTRAL BUSINESS DISTRICT,6,6,1-4,1-4,2,1,17,17,6,6,1,1,CITY,1970/01/01 00:00:00+00,N,2,173,FORBES AVE SMITHFIELD ST CHERRY WAY,1-1,1-1,0201,0201,6,6,279.639184984,DT
7,517,543,6107,0,0,0,0,285.98932516,0,6107, ,5TH,AVE, , ,5TH AVE,FIFTH AVE,4501,4529,4500,4538,N DITHRIDGE ST,N CRAIG ST,15213,15213,100,100,CITY, ,YES,4,A31, ,N,0,11153, ,Y,2007/03/06 00:00:00+00,Y, , , ,404,404,4,4,NORTH OAKLAND,NORTH OAKLAND,3,3,2-9,2-9,4,4,56,56,8,8,12,13,CITY,1970/01/01 00:00:00+00,Y,2,247,5TH AVE N DITHRIDGE ST N CRAIG ST,2-8,2-10,0404,0404,8,8,285.989464165,OA
8,529,562,5752,0,0,0,0,201.34781218,0,5752,S,CRAIG,ST, , ,S CRAIG ST, ,201,213,200,214,HENRY ST,WINTHROP ST,15213,15213,100,100,CITY, , ,2,A32, ,N,0,11461, ,Y,2007/02/25 00:00:00+00,Y, , , ,404,404,4,4,NORTH OAKLAND,NORTH OAKLAND,3,3,2-9,2-9,4,4,56,56,8,8,13,13,CITY,1970/01/01 00:00:00+00,Y,3,335,S CRAIG ST HENRY ST WINTHROP ST,2-10,2-10,0404,0404,8,8,201.347791739,OA
9,555,148,1635,0,0,0,0,271.82505968,0,1635, ,FORBES,AVE, , ,FORBES AVE, ,3601,3621,3600,3620,MEYRAN AVE,ATWOOD ST,15213,15213,100,100,STATE, ,YES,3,A11, ,FT,0,12953, ,Y,2007/01/05 00:00:00+00,Y, , , ,405,405,4,4,CENTRAL OAKLAND,CENTRAL OAKLAND,3,3,2-14,2-14,4,4,20,20,3,3,5,5,STATE,1970/01/01 00:00:00+00,Y,1,293,FORBES AVE MEYRAN AVE ATWOOD ST,2-7,2-7,0405,0405,6,6,271.825197546,OA
10,613,963,7077,0,0,0,0,638.99452325,0,7077, ,UNIVERSITY,PL, , ,UNIVERSITY PL, ,101,149,100,148,5TH AVE,OHARA ST,15213,15213,100,100,CITY, , ,2,A31, ,N,0,12064, ,Y,2007/02/24 00:00:00+00,Y, , , ,403,403,4,4,NORTH OAKLAND,NORTH OAKLAND,3,3,2-7,2-7,4,4,56,56,8,8,7,7,CITY,1970/01/01 00:00:00+00,N,3,726,UNIVERSITY PL 5TH AVE OHARA ST,2-7,2-7,9822,9822,8,8,638.994343699,OA
